userID,food,rating
11,치킨,5
11,스파게티,4
11,피자,3
11,햄버거,4
11,스테이크,5
11,부리또,3
11,타코,2
11,리조또,2
11,쌀국수,1
11,팟타이,1
12,비빔밥,3
12,볶음밥,5
12,김치찌개,5
12,된장찌개,5
12,순두부찌개,5
12,삼계탕,5
12,갈비,5
12,생선구이,3
12,삼겹살,5
12,보쌈,5
12,족발,5
12,곱창,5
12,떡볶이,5
12,돈까스,5
12,제육볶음,5
12,매운탕,5
12,청국장,5
12,순대국밥,5
12,감자탕,5
12,냉면,5
12,추어탕,3
12,낙지볶음,5
12,육개장,5
12,찜닭,3
12,나주곰탕,5
12,소머리 국밥,5
12,물회,5
12,샤브샤브,5
12,간장게장,5
12,칼국수,3
12,짜장면,5
12,짬뽕,5
12,탕수육,5
12,마라탕,1
12,양꼬치,3
12,마파두부밥,3
12,유산슬,1
12,깐풍기,5
12,훠궈,1
12,팔보채,3
12,우동,3
12,생선회,5
12,초밥,5
12,돈부리 덮밥,5
12,라멘,5
12,메밀소바,5
12,타코야끼,5
12,오코노미야끼,5
12,스키야키,5
12,규카츠,5
12,치킨,5
12,스파게티,5
12,피자,5
12,햄버거,5
12,스테이크,5
12,부리또,5
12,타코,5
12,리조또,5
12,쌀국수,1
12,팟타이,1
13,비빔밥,5
13,볶음밥,1
13,김치찌개,3
13,된장찌개,2
13,순두부찌개,5
13,삼계탕,4
13,갈비,2
13,생선구이,1
13,삼겹살,3
13,보쌈,4
13,족발,4
13,곱창,5
13,떡볶이,3
13,돈까스,2
13,제육볶음,5
13,매운탕,4
13,청국장,1
13,순대국밥,2
13,감자탕,3
13,냉면,1
13,추어탕,4
13,낙지볶음,3
13,육개장,1
13,찜닭,1
13,나주곰탕,2
13,소머리 국밥,2
13,물회,5
13,샤브샤브,5
13,간장게장,4
13,칼국수,3
13,짜장면,5
13,짬뽕,4
13,탕수육,3
13,마라탕,5
13,양꼬치,3
13,마파두부밥,1
13,유산슬,1
13,깐풍기,4
13,훠궈,2
13,팔보채,2
13,우동,2
13,생선회,2
13,초밥,5
13,돈부리 덮밥,1
13,라멘,3
13,메밀소바,5
13,타코야끼,4
13,오코노미야끼,3
13,스키야키,4
13,규카츠,1
13,치킨,3
13,스파게티,2
13,피자,1
13,햄버거,5
13,스테이크,2
13,부리또,4
13,타코,5
13,리조또,4
13,쌀국수,3
13,팟타이,1
14,비빔밥,3
14,볶음밥,3
14,김치찌개,5
14,된장찌개,4
14,순두부찌개,3
14,삼계탕,3
14,갈비,5
14,생선구이,2
